Date,Log,Change,Close,Volume,Open,High,Low,Silver,SP500,DXY,US1Y,VIX,Oil,DFII10,T10YIE,USEPUINDXD,GPRD,GPRD_ACT,GPRD_THREAT
1/1/2015,0.001775073,0.18,1184.1,112280,1184.1,1184.1,1184.1,15.599,2058.9,90.27,0.25,19.20000076,55.27,0.49,1.68,137.22,74.58,49.57,82.69
1/2/2015,0.001771928,0.18,1186.2,112280,1184,1194.9,1167.3,15.768,2058.2,91.08,0.25,17.79000092,55.38,0.41,1.71,93.14,106.86,117.18,97.74
1/5/2015,0.014894426,1.5,1204,142942,1187.8,1207.5,1177.8,16.213,2020.58,91.38,0.26,19.92000008,51.08,0.4,1.64,90.66,100.72,111.57,74.45
1/6/2015,0.012709588,1.28,1219.4,180653,1204,1223.3,1201.6,16.637,2002.61,91.5,0.25,21.12000084,50.12,0.41,1.56,85.46,66.82,104.69,31.75
1/7/2015,-0.00716023,-0.71,1210.7,111150,1219,1219.4,1209.1,16.544,2025.9,91.89,0.25,19.30999947,49.06,0.39,1.57,57.14,78.76,92.37,61.64
1/8/2015,-0.001818784,-0.18,1208.5,113091,1211,1216.8,1204.2,16.385,2062.14,92.37,0.23,17.01000023,49.43,0.41,1.62,59.56,168.64,232.17,133.55
1/9/2015,0.006269096,0.63,1216.1,148809,1208.9,1224,1207,16.419,2044.81,91.94,0.22,17.54999924,47.64,0.36,1.62,44.45,64.71,112.9,26.91
1/12/2015,0.013638988,1.37,1232.8,132313,1223,1236,1217.5,16.564,2028.26,91.98,0.19,19.60000038,46.9,0.35,1.57,99.54,148.08,240.57,91.21
1/13/2015,0.001297017,0.13,1234.4,168374,1233.1,1244.5,1227.4,17.156,2023.03,92.31,0.2,20.55999947,45.13,0.37,1.54,68.71,151.56,259.01,79.21
1/14/2015,8.10077E-05,0.01,1234.5,184208,1231.2,1244.6,1224.9,16.988,2011.27,92.16,0.18,21.47999954,45.82,0.29,1.57,82.58,88.39,151.06,77
1/15/2015,0.024247977,2.45,1264.8,272750,1229.7,1267.2,1226.1,17.102,1992.67,92.35,0.16,22.38999939,47.66,0.19,1.58,88.27,132.79,257.61,23.87
1/16/2015,0.009521259,0.96,1276.9,204198,1263.5,1282.4,1255.2,17.75,2019.42,92.52,0.17,20.95000076,47.38,0.23,1.6,50.91,156.11,258.12,82.32
1/19/2015,0,0,1276.9,204198,1276.9,1276.9,1276.9,17.75,2019.42,92.52,0.17,20.95000076,47.38,0.23,1.6,72.54,120.26,130.79,109.09
1/20/2015,0.013457478,1.35,1294.2,231185,1276.3,1297.2,1272.1,17.956,2022.55,93.05,0.17,19.88999939,46.49,0.23,1.59,74.06,175.29,250.93,119.6
1/21/2015,-0.000386414,-0.04,1293.7,195098,1295.3,1307,1284.6,18.193,2032.12,92.9,0.17,18.85000038,46.5,0.26,1.61,43.82,148.51,189.18,123.49
1/22/2015,0.005396251,0.54,1300.7,198887,1293.7,1307.8,1279.1,18.36,2063.15,94.08,0.17,16.39999962,46.09,0.29,1.61,85.21,98.54,136.02,69.34
1/23/2015,-0.006246887,-0.62,1292.6,140604,1301.5,1302.9,1284.3,18.3,2051.82,94.76,0.17,16.65999985,46.69,0.21,1.6,82.9,109.12,124.32,97.22
1/26/2015,-0.010264476,-1.02,1279.4,157859,1292.8,1299.2,1275.6,17.983,2057.09,94.8,0.18,15.52000046,46.07,0.22,1.61,54.5,135.93,200.75,117.21
1/27/2015,0.010496539,1.06,1292.9,84273,1281.9,1298.6,1273,18.084,2029.55,94.02,0.17,17.21999931,46.55,0.17,1.66,55.58,95.16,126.49,67.83
1/28/2015,-0.004418441,-0.44,1287.2,140642,1293.5,1294.6,1280.2,18.088,2002.16,94.47,0.17,20.44000053,47.07,0.12,1.61,77.51,146.46,197.54,107.46
1/29/2015,-0.02461687,-2.43,1255.9,233577,1284,1286.6,1252.1,16.773,2021.25,94.78,0.17,18.76000023,46.61,0.15,1.62,32.14,105.28,89.96,125.06
1/30/2015,0.018382435,1.86,1279.2,156292,1259,1285.4,1257.5,17.208,1994.99,94.8,0.18,20.96999931,47.52,0.03,1.65,65.15,126.52,107.02,133.9
2/2/2015,-0.001799617,-0.18,1276.9,111408,1283,1283.9,1266.5,17.251,2020.85,94.5,0.17,19.43000031,51.74,0.03,1.65,79.45,101.15,121,109.34
2/3/2015,-0.013085478,-1.3,1260.3,166935,1275.6,1286.5,1255.8,17.321,2050.03,93.6,0.21,17.32999992,54.41,0.09,1.7,65.6,141.25,190.78,136.4
2/4/2015,0.003326999,0.33,1264.5,127140,1261.5,1273.3,1256.9,17.395,2041.51,93.99,0.2,18.32999992,55.07,0.1,1.71,67.26,90.7,51.67,122.1
2/5/2015,-0.001424502,-0.14,1262.7,105045,1270.4,1274.6,1256.1,17.196,2062.52,93.57,0.2,16.85000038,55.98,0.13,1.7,115.17,89.43,59.44,99.15
2/6/2015,-0.022505254,-2.23,1234.6,189154,1266.4,1269,1228.2,16.694,2055.47,95.85,0.26,17.29000092,55.88,0.24,1.71,59.12,166.44,161.88,168.78
2/9/2015,0.005573295,0.56,1241.5,86101,1235.9,1243.6,1234.4,17.07,2046.74,94.45,0.24,18.54999924,57,0.25,1.71,87.49,128.99,61.73,163.04
2/10/2015,-0.007519136,-0.75,1232.2,92110,1238.3,1245.9,1230.6,16.873,2068.59,94.76,0.25,17.22999954,55.79,0.31,1.7,83.73,134.23,95.58,183.37
2/11/2015,-0.010278253,-1.02,1219.6,109012,1234.1,1238.7,1216.5,16.761,2068.53,94.98,0.24,16.95999908,53.48,0.32,1.68,50.54,110.85,136,113.44
2/12/2015,0.000901529,0.09,1220.7,103350,1222.9,1232.8,1218,16.794,2088.48,94.09,0.23,15.34000015,56.23,0.33,1.66,26.96,76.61,116.38,54.6
2/13/2015,0.005229197,0.52,1227.1,90256,1223,1234.9,1222.5,17.294,2096.99,94.2,0.23,14.68999958,60.33,0.34,1.68,54.65,139.64,77.34,174.17
2/16/2015,0,0,1227.1,90256,1227.1,1227.1,1227.1,17.294,2096.99,94.2,0.23,14.68999958,61.57,0.34,1.68,37.41,102.52,166.08,53.28
2/17/2015,-0.015190997,-1.51,1208.6,172721,1230.9,1236.7,1203.3,16.378,2100.34,94.06,0.25,15.80000019,60.78,0.43,1.71,50.67,123.75,151.83,134.56
2/18/2015,-0.006974455,-0.7,1200.2,114178,1209.3,1213.4,1197.2,16.265,2099.68,94.2,0.23,15.44999981,60.72,0.36,1.71,37.15,154.67,171.33,135.76
2/19/2015,0.006146709,0.62,1207.6,105113,1209,1222.9,1205.2,16.381,2097.45,94.4,0.23,15.28999996,58.78,0.37,1.74,102.56,143.86,158.51,157.4
2/20/2015,-0.002238343,-0.22,1204.9,103062,1208,1215.3,1197.7,16.273,2110.3,94.34,0.23,14.30000019,60.99,0.38,1.75,35.63,136.85,128.4,147.26
2/23/2015,-0.003408575,-0.34,1200.8,108517,1203.5,1210.3,1190.6,16.299,2109.66,94.57,0.22,14.56000042,59.78,0.34,1.72,76.09,168.18,162.58,161.03
2/24/2015,-0.00291898,-0.29,1197.3,109440,1201.9,1204.4,1190,16.233,2115.48,94.49,0.22,13.68999958,60.33,0.27,1.72,128.86,149.09,130.05,154.97
2/25/2015,0.003501754,0.35,1201.5,97588,1200.8,1211.7,1200.7,16.474,2113.86,94.21,0.21,13.84000015,59.77,0.24,1.72,74.82,114.38,96.48,124.37
2/26/2015,0.007132225,0.72,1210.1,122100,1203.9,1219.9,1203.4,16.624,2110.74,95.29,0.22,13.90999985,61.39,0.24,1.79,74.61,95.06,58.32,121.61
2/27/2015,0.002476066,0.25,1213.1,107382,1208.8,1219.2,1204.1,16.558,2104.5,95.32,0.22,13.34000015,61.89,0.17,1.83,116.63,105.94,97.49,115.19
3/2/2015,-0.004047418,-0.4,1208.2,128222,1213.8,1223,1204.2,16.451,2117.39,95.46,0.22,13.03999996,60.75,0.25,1.83,91.47,105.47,28.67,151.48
3/3/2015,-0.003150131,-0.31,1204.4,146874,1206.1,1214.4,1194.6,16.296,2107.78,95.38,0.26,13.85999966,61.18,0.26,1.86,37.66,149.37,105.12,175.35
3/4/2015,-0.002910242,-0.29,1200.9,99539,1203.8,1208.4,1197.7,16.158,2098.53,95.97,0.26,14.22999954,59.18,0.25,1.87,89.94,218.32,125.57,279.29
3/5/2015,-0.00392141,-0.39,1196.2,125564,1200.2,1208.9,1195.8,16.158,2101.04,96.38,0.25,14.03999996,60.33,0.27,1.84,69.01,77.49,84.97,64.43
3/6/2015,-0.027029818,-2.67,1164.3,204043,1197.5,1200,1162.9,15.807,2071.26,97.61,0.27,15.19999981,59.15,0.41,1.83,47.16,86.04,93.57,91.06
3/9/2015,0.001887764,0.19,1166.5,112018,1169.6,1174.4,1164.8,15.776,2079.43,97.59,0.27,15.06000042,58.67,0.44,1.76,63.31,79.82,29.84,116.15
3/10/2015,-0.005501604,-0.55,1160.1,170223,1165.6,1169.6,1153.8,15.633,2044.16,98.62,0.25,16.69000053,55.95,0.41,1.73,85.17,89.77,62.65,104.51
3/11/2015,-0.008222663,-0.82,1150.6,152874,1161.1,1164.3,1146.5,15.365,2040.24,99.8,0.25,16.87000084,56.46,0.39,1.72,44.39,78.04,77.8,72.11
3/12/2015,0.001129208,0.11,1151.9,151499,1153.7,1165.7,1147.5,15.516,2065.95,99.44,0.24,15.42000008,56.66,0.39,1.71,33.9,105.61,112.3,81.96
3/13/2015,0.000433971,0.04,1152.4,113141,1152.6,1160.9,1150.4,15.494,2053.4,100.33,0.24,16,54.8,0.44,1.69,52.24,67.85,63.66,59.74
3/16/2015,0.000693963,0.07,1153.2,114195,1157.9,1163.3,1149.3,15.617,2081.19,99.6,0.26,15.60999966,52,0.45,1.65,53.97,109.26,99.02,107.37
3/17/2015,-0.004345188,-0.43,1148.2,149286,1153.7,1159.3,1141.6,15.578,2074.28,99.58,0.27,15.65999985,52.17,0.42,1.64,37.53,97.29,46.19,130.98
3/18/2015,0.00269624,0.27,1151.3,180295,1148.1,1175.1,1144.9,15.541,2099.5,98.55,0.23,13.97000027,52.59,0.23,1.7,78.2,117.37,69.34,144.59
3/19/2015,0.015256944,1.54,1169,150727,1166.1,1177,1158.6,16.114,2089.27,99.26,0.26,14.06999969,52.96,0.19,1.79,52.74,55.87,39.31,65.58
3/20/2015,0.013256482,1.33,1184.6,155233,1170.4,1187.4,1167.9,16.883,2108.1,97.91,0.24,13.02000046,53.88,0.17,1.76,56.33,94.76,90.36,102.78
3/23/2015,0.002613499,0.26,1187.7,157085,1183.2,1191,1178.6,16.891,2104.42,97.03,0.24,13.40999985,53.82,0.17,1.75,108.15,98.3,39.2,130.78
3/24/2015,0.003110422,0.31,1191.4,153651,1188.5,1194.5,1184.7,16.983,2091.5,97.19,0.24,13.61999989,53.61,0.11,1.77,34.47,100.38,90.97,106.23
3/25/2015,0.00468934,0.47,1197,171373,1192.5,1199.3,1186.1,17,2061.05,96.98,0.25,15.43999958,54.18,0.12,1.81,52.7,105.38,100.49,91.44
3/26/2015,0.007241885,0.73,1205.7,112028,1196.1,1220.4,1194.8,17.14,2056.15,97.44,0.28,15.80000019,57.02,0.21,1.8,46.77,103.41,120.86,94.88
3/27/2015,-0.004155591,-0.41,1200.7,128583,1204.6,1206.6,1192.6,17.069,2061.02,97.29,0.27,15.06999969,56.44,0.19,1.76,61.09,199.25,215.19,214.01
3/30/2015,-0.012908813,-1.28,1185.3,122724,1198.6,1199.6,1182.2,16.674,2086.24,97.97,0.27,14.51000023,53.99,0.23,1.73,74.41,123.24,78.63,172.16
3/31/2015,-0.001773275,-0.18,1183.2,112462,1185.5,1190.6,1178.2,16.598,2067.89,98.36,0.26,15.28999996,53.69,0.18,1.76,88.25,131.06,63.07,165.35
4/1/2015,0.020909016,2.11,1208.2,141610,1183.2,1208.7,1180.5,17.059,2059.69,98.19,0.27,15.10999966,55.73,0.07,1.8,85.27,138.93,112.53,158.84
4/2/2015,-0.006060373,-0.6,1200.9,108884,1204.3,1207.4,1194.8,16.701,2066.96,97.44,0.25,14.67000008,55.73,0.11,1.81,27.58,113.85,146.45,85.51
4/3/2015,0,0,1200.9,108884,1200.9,1200.9,1200.9,16.701,2066.96,96.55,0.21,14.67000008,55.73,0.02,1.83,69.18,150.14,112.26,202.88
4/6/2015,0.014631383,1.47,1218.6,101351,1212.6,1224.5,1212.6,17.11,2080.62,96.78,0.21,14.73999977,55.73,0.07,1.85,56.3,116.79,148.18,97.11
4/7/2015,-0.006586554,-0.66,1210.6,80561,1208.6,1215.9,1207.5,16.84,2076.33,97.83,0.22,14.77999973,57.55,0.04,1.85,77.07,110.13,70.26,146.52
4/8/2015,-0.006214545,-0.62,1203.1,112371,1208.7,1212.5,1197.4,16.454,2081.9,97.94,0.22,13.97999954,56.42,0.08,1.84,55.11,166.76,143.78,209.87
4/9/2015,-0.007927609,-0.79,1193.6,104647,1202.6,1203.3,1192.4,16.176,2091.18,99.16,0.22,13.09000015,56.04,0.13,1.84,43.26,134.81,138.24,128.12
4/10/2015,0.009173611,0.92,1204.6,116251,1193.8,1210.6,1192.9,16.382,2102.06,99.34,0.24,12.57999992,56.82,0.14,1.82,41.28,142.14,86.59,183.85
4/13/2015,-0.004409508,-0.44,1199.3,105226,1207.2,1209.3,1196.1,16.291,2092.43,99.49,0.23,13.93999958,57.14,0.14,1.8,77.54,79.22,78.98,98.82
4/14/2015,-0.005602256,-0.56,1192.6,153692,1198.8,1201.3,1183.5,16.161,2095.84,98.73,0.23,13.67000008,57.69,0.1,1.8,66.77,121.65,83.96,147.84
4/15/2015,0.007268506,0.73,1201.3,123923,1192.2,1204.4,1188.3,16.279,2106.63,98.32,0.23,12.84000015,59.32,0.07,1.84,310.25,143.66,134.79,175.67
4/16/2015,-0.002750804,-0.27,1198,151984,1201.8,1208.8,1194.3,16.284,2104.99,97.42,0.22,12.60000038,60.13,0.05,1.85,49.98,104.72,97.44,133.52
4/17/2015,0.004248059,0.43,1203.1,107912,1198.6,1207.8,1197,16.229,2081.18,97.52,0.23,13.89000034,61.31,-0.02,1.89,43.72,99.06,94.8,92.26
4/20/2015,-0.007843832,-0.78,1193.7,126703,1204.4,1209,1190.8,15.889,2100.4,97.94,0.24,13.30000019,61.2,0.01,1.89,51.68,91.73,60.97,118.66
4/21/2015,0.007843832,0.79,1203.1,97120,1195.8,1203.7,1192.5,16.008,2097.29,98,0.23,13.25,60.12,0.06,1.86,46.55,85.28,107.39,82.11
4/22/2015,-0.013556693,-1.35,1186.9,146503,1202.2,1204.4,1185,15.796,2107.96,97.93,0.23,12.71000004,60.12,0.12,1.87,36.96,75.59,70.92,96.13
4/23/2015,0.006215374,0.62,1194.3,110608,1186.9,1197.4,1183.6,15.829,2112.93,97.28,0.24,12.47999954,62.66,0.07,1.89,33.57,61.08,35.82,83.65
4/24/2015,-0.016292092,-1.62,1175,149522,1193,1195.4,1174.1,15.68,2117.69,96.92,0.24,12.28999996,62.96,0.04,1.89,42.94,156.4,183.91,126.72
4/27/2015,0.023716527,2.4,1203.2,195125,1179.3,1206.7,1177.6,16.439,2108.92,96.77,0.25,13.11999989,62.86,0.03,1.91,35.03,76.04,85.28,71.13
4/28/2015,0.008853643,0.89,1213.9,145628,1201.6,1214.9,1198.6,16.63,2114.76,96.09,0.24,12.40999985,62.61,0.11,1.89,30.41,46.01,27.52,61.21
4/29/2015,-0.003217957,-0.32,1210,134603,1211.4,1213.5,1200.7,16.702,2106.85,95.21,0.25,13.39000034,63.97,0.14,1.92,30.76,84.1,93.16,62.16
4/30/2015,-0.023074088,-2.28,1182.4,196278,1204.5,1207.4,1176,16.153,2085.51,94.6,0.24,14.55000019,63.9,0.11,1.94,39.66,52.75,49.08,52.63
5/1/2015,-0.006703746,-0.67,1174.5,112452,1183.7,1184.4,1168.4,16.135,2108.29,95.3,0.25,12.69999981,64.13,0.18,1.94,37.85,76.24,38,95.09
5/4/2015,0.010418084,1.05,1186.8,104106,1176.6,1192.1,1176.6,16.441,2114.49,95.48,0.25,12.85000038,64.62,0.24,1.92,27.02,70.6,64.96,63.22
5/5/2015,0.005378164,0.54,1193.2,105898,1187.5,1199.3,1184.9,16.579,2089.46,95.08,0.24,14.31000042,65.44,0.25,1.94,30.59,44.76,39.67,49.63
5/6/2015,-0.002433397,-0.24,1190.3,103539,1192.5,1196.9,1187.4,16.506,2080.15,94.09,0.25,15.14999962,66.22,0.34,1.91,42.19,99.69,108.42,82.9
5/7/2015,-0.006828267,-0.68,1182.2,127213,1191.3,1192,1177.9,16.297,2088,94.64,0.24,15.13000011,64.93,0.3,1.88,79.16,64.28,67.86,69.18
5/8/2015,0.0056514,0.57,1188.9,134106,1183.7,1193,1180.5,16.465,2116.1,94.79,0.23,12.85999966,63.82,0.28,1.88,81.06,71.75,55.64,86.18
5/11/2015,-0.004974925,-0.5,1183,123351,1189,1190.9,1178,16.314,2105.33,95.01,0.25,13.85000038,62.82,0.4,1.88,106.86,118.67,72.01,145.88
5/12/2015,0.007914498,0.79,1192.4,133063,1182.5,1196.3,1179.7,16.526,2099.12,94.53,0.25,13.85999966,65.09,0.4,1.88,86.73,62.17,35.41,88.62
5/13/2015,0.021406277,2.16,1218.2,225506,1192.5,1218.5,1190.4,17.221,2098.48,93.62,0.24,13.76000023,66.33,0.41,1.86,86.1,114.38,100.35,129.36
5/14/2015,0.005729737,0.57,1225.2,162990,1215,1227.7,1211.9,17.465,2121.1,93.46,0.23,12.73999977,65.58,0.36,1.87,49.4,77.47,73.55,67.48
5/15/2015,8.1616E-05,0.01,1225.3,128557,1220.9,1225.8,1210.6,17.563,2122.73,93.14,0.23,12.38000011,64.69,0.31,1.83,65.4,95.24,74.3,117.07
5/18/2015,0.001875332,0.19,1227.6,112075,1225.4,1232,1221.2,17.732,2129.2,94.22,0.22,12.72999954,65.15,0.37,1.86,65.23,112.12,81.29,152.56
